backend,lanes,pe,boundary,error_bound,observed_error,yosys_cells,latency_cycles,frame_interval_cycles,products_per_1000_cycles,simulation_passed,status,rtl_sha256
streamed,2,1,indexed,0,0,1849587,8067,3390,0.2949852507374631,True,screened,07305ad70462e488d7481697535f9c02dcb533daea42c1fe2778225b23d827be
streamed,2,1,switch,0,0,3941550,8585,3906,0.2560163850486431,True,screened,ec67b110988dcaed179c04060ecf234f3954143f40bd24b2249390e467efffb8
streamed,2,2,indexed,0,0,1875903,5252,1983,0.5042864346949067,True,screened,be3a7a91385c4b417a8c46adc9b5b1f76a9aa0ceffc3fd87bf80aa7f8f82f989
streamed,2,2,switch,0,0,3967110,5770,2499,0.4001600640256102,True,screened,772e028cee028d2f3faf63958a85544ca1477ec4e8dbe1b14593d95447ef1c99
streamed,4,1,indexed,0,0,4642020,7299,3134,0.3190810465858328,True,screened,ae07426f7e0f7e740dcb931884a960b1cc47dad0f14cd9c9ef186d4e9a4d7deb
streamed,4,1,switch,0,0,8803581,7561,3394,0.2946375957572186,True,screened,0514e15e8f0657fc7c83ea239d28bbe63b156a5adb999d71d709d05017e3acc8
streamed,4,2,indexed,0,0,4650453,4484,1727,0.5790387955993052,True,screened,580283a0755c23f33f43c7cafd00c6c0b3ae242965ea79edc9f413d9b053eb3e
streamed,4,2,switch,0,0,8812014,4746,1987,0.5032712632108707,True,screened,84cd355701c23205fa13c75abecfbd0a23c2ce10a5dabdc81472590dcf666283
stage-parallel,2,,indexed,0,0,,1818,521,1.9193857965451055,True,Yosys timeout (~7200s),2544336c976da7da259e1ead0e851e077813935f49e49e237d7f8345ee276286
stage-parallel,2,,switch,0,0,,2846,1037,0.9643201542912246,True,Yosys timeout (~7200s),7d22648d032ce92f274c92f0a9dcbb4bc044ed0bf4aab8533fd251b12917dbed
stage-parallel,4,,indexed,0,0,,1306,256,3.90625,True,Yosys timeout (~7200s),3b7a0a4b5f94ae99cf39caba719c2e3a014003c1f1f137854174f103cc391d68
stage-parallel,4,,switch,0,0,,1822,525,1.9047619047619047,True,Yosys timeout (~7200s),a09bb73d413f55556a18899c46f5797c7b4ee10b49c6c32fc6464b09554d8b41
